Game Time;Current Maze;Current Row;Current Column
0;0;0;0
1,016759;0;2;1
2,027892;0;2;1
3,068238;0;2;1
4,092669;0;2;1
5,119245;0;2;1
6,172025;0;2;1
7,250854;0;2;1
8,25306;0;2;1
9,328588;0;2;1
10,3679;0;2;1
11,39536;0;2;1
12,43647;0;2;1
13,45278;0;2;1
14,47947;0;2;1
15,55878;0;2;1
16,56418;0;2;1
17,63206;0;2;1
18,64051;0;2;1
19,66124;0;2;1
20,70566;0;2;1
21,77848;0;2;1
22,87136;0;2;1
23,95094;0;2;1
25,04012;0;2;1
26,10552;0;2;1
27,14848;0;2;1
28,19974;0;2;1
29,21503;0;2;1
30,25215;0;2;1
31,27464;0;2;1
32,37458;0;2;1
33,42844;0;2;1
34,48324;0;2;1
35,54054;0;2;1
36,59288;0;2;1
37,63397;0;2;1
38,67772;0;2;1
39,71558;0;2;1
40,72808;0;2;1
41,77322;0;2;1
42,81691;0;2;1
43,84396;0;2;1
44,85954;0;2;1
45,91885;0;2;1
46,97353;0;2;1
48,01517;0;2;1
49,03198;0;2;1
50,12331;0;2;1

