Game Time,Current Maze,Current Row,Current Column
0,0,0,0
1.013645,0,2,1
2.024324,0,2,1
3.035196,0,2,1
4.046145,0,2,1
5.057095,0,2,1
6.068235,0,2,1
7.078992,0,2,1
8.089965,0,2,1
9.100935,0,2,1
10.1122,0,2,1
11.12279,0,2,1
12.13374,0,2,1
13.14469,0,2,1
14.15564,0,2,1
15.16694,0,2,1
16.17787,0,2,1
17.18848,0,2,1
18.19954,0,2,1
19.21038,0,2,1
20.22153,0,2,1

